DATE,STATION,fire_risk_score
2023-09-11,USW00023155,0.9008495
2023-08-19,USW00023185,0.9004869
2023-11-28,USW00093193,0.9004463
2023-12-06,USW00023155,0.90031034
2023-02-26,USW00023185,0.9001523
2023-02-07,USW00093193,0.89968836
2023-07-18,USW00023157,0.8996268
2023-12-03,USW00024257,0.8995871
2023-11-27,USW00024257,0.8995277
2023-05-31,USW00023185,0.8990076
2023-01-07,USW00093193,0.8984446
2023-10-08,USW00023157,0.89843965
2023-04-03,USW00023157,0.8984346
2023-08-13,USW00023155,0.89842194
2023-05-30,USW00093193,0.8983665
2023-09-03,USW00023185,0.8982671
2023-09-27,USW00023155,0.8981963
2021-01-22,USW00023157,0.89780974
2023-11-12,USW00023157,0.89775383
2023-12-13,USW00024257,0.8972899
2023-12-29,USW00023185,0.8972655
2023-08-24,USW00023157,0.89716023
2023-12-12,USW00093193,0.8969277
2020-12-18,USW00023185,0.8965551
2023-01-17,USW00023157,0.89653975
2023-10-03,USW00023185,0.8963771
2023-10-24,USW00023185,0.8961644
2023-08-25,USW00023185,0.8960516
2023-07-17,USW00023185,0.89595807
2023-03-21,USW00023155,0.89595747
2023-07-07,USW00024257,0.8959181
2023-11-16,USW00023155,0.89590335
2023-05-14,USW00023157,0.89569765
2023-10-27,USW00024257,0.8956252
2023-12-28,USW00093193,0.8953825
2020-06-05,USW00024257,0.8949991
2021-11-19,USW00024257,0.8945009
2023-12-30,USW00093193,0.8940639
2023-12-18,USW00023185,0.8937634
2023-05-14,USW00023155,0.8934421
2023-05-14,USW00093193,0.8932334
2023-11-16,USW00024257,0.8931465
2021-12-02,USW00023185,0.8930964
2023-08-30,USW00023155,0.8929885
2023-03-08,USW00023157,0.8926073
2023-02-11,USW00023185,0.8925186
2023-07-02,USW00024257,0.89250195
2023-06-04,USW00093193,0.89244187
2023-03-25,USW00023185,0.8922277
2023-02-18,USW00023157,0.8921926
2023-02-01,USW00024257,0.8918239
2023-09-04,USW00093193,0.8914819
